"provider_key","name","specialty"
"593","Dr. Y.","Surgery"
"621","Dr. Evelyn Reed","Gynecologic Oncology"
"658","Dr. Johnson","Surgery"
"659","Dr. Jinnah","Surgery"
"660","Dr. Z","Anesthesiology"
"704","Dr. B","Surgery"
"705","Dr. Harrison Lee","Surgery"
"713","Dr. Emily Carter","Gynecologic Surgery"
"737","Dr. John Smith","Cardiology"
"770","Dr. John Smith","Oral and Maxillofacial Surgery"
"784","Dr. Sageman","Surgery"
"785","Dr. John Smith","Otolaryngology"
"786","Dr. X Pipkin","Pediatric Surgery"
"803","Dr. Marino Fernandez","Surgery"
"814","Dr. [Orthopedic Resident Name]","Surgery"
"821","Dr. Spencer","Surgery"
"830","Dr. Salisbury","Obstetrics"
"838","Dr. Lang","Surgery"
"860","Dr. Emily Chen","Neurology"
"872","Dr. Emily Chen","Obstetrics"
"878","Dr. Jane Smith","Obstetrics and Gynecology"
"881","Dr. Emily Patterson","Obstetrics"
"897","Dr. Evelyn Reed","Gynecologic Surgery"
"917","Dr. Fieldstone","Nephrology"
"922","Dr. Trask","Surgery"
"926","Dr. John Smith","Neurosurgery"
"959","Dr. John Smith","Gastroenterology"
"977","Dr. Emily Patterson","Vascular Surgery"
"983","Dr. Emily Chen","Ear, Nose, and Throat Surgery"
"985","Dr. Emily Thompson","Surgery"
"986","Dr. Emily Chen","Orthopedic Surgery"
"991","Dr. Khan","Surgery"
"1001","Dr. Kindred","Surgery"
"1023","Dr. Ethan Thompson","Otolaryngology"
"1053","Dr. Ethan Thompson","Electrophysiology"
"1054","Dr. Emily Chen","Cardiology"
"1058","Dr. Emily Carter","Cardiology"
"1059","Dr. Hayes","Surgery"
"1065","Dr. Kenneth Fang","Cardiology"
"1088","Dr. Kaczander","Surgery"
"1092","Dr. Evelyn Reed","Pulmonology"
"1104","Dr. D","Surgery"
"1117","Dr. John Smith","Oral Surgery"
"1131","Dr. Redmond","Surgery"
"1146","Dr. K","Cardiology"
"1154","Dr. Michael Campbell","Surgery"
"1155","Dr. P","Nephrology"
"1170","Dr. Emily Carter","Orthopedic Surgery"
"1171","Dr. Robert Smith","Orthopedic Surgery"
"1197","Dr. John Smith","Hematology"
"1200","Dr. Emily Patel","Gynecology"
"1201","Dr. John Smith","Psychiatry"
"1203","Dr. Emily Carter","General Surgery"
"1205","Dr. Emily Carter","Orthopedics"
"1207","Dr. Emily Carter","Pulmonology"
"1208","Dr. Pulmonary Medicine Associates","Pulmonary Medicine"
"1209","Dr. John Smith","Pulmonology"
"1210","Dr. Emily Chen","Nephrology"
"1212","Dr. Emily Chen","Rheumatology"
"1213","Dr. Evelyn Reed","Pulmonary Medicine"
"1214","Dr. Emily Taylor","Orthopedics"
"1215","Dr. John Smith","Pediatrics"
"1224","Dr. Ethan Thompson","Otolaryngology"
"1225","Dr. Emily Wilson","Gastroenterology"
"1226","Dr. A","Gastroenterology"
"1227","Dr. Evelyn Reed","Hematology"
"1228","Dr. Emily Carter","Endocrinology"
"1229","Dr. Emily Patel","Hematology"
"1230","Dr. Sample Provider","Podiatry"
"1231","Dr. John Smith","Oncology"
"1232","Dr. John Smith","Podiatry"
"1233","Dr. John Smith","Physical Therapy"
"1235","Dr. Berry","Pain Management"
"1238","Dr. Emily Carter","Dermatology"
"1239","Dr. Blackman","Dermatology"
"1240","Dr. Robert Smith","Orthopedics"
"1242","Dr. John Smith","Orthopedics"
"1243","Dr. Emily Carter","Ophthalmology"
"1245","Dr. F","Nephrology"
"1246","Dr. Emily Chen","Psychiatry"
"1247","Dr. A","Pulmonology"
"1248","Dr. Emily Thompson","Geriatrics"
"1252","Dr. John Smith","Neurology"
"1253","Dr. Emily Carter","Oncology"
"1254","Dr. XYZ Estep","Pulmonology"
"1256","Dr. Ethan Thompson","Orthopedics"
"1257","Dr. John Smith","Bariatric Surgery"
"1259","Dr. Emily Chen","Pulmonology"
"1261","Dr. Emily Carter","Podiatry"
"1262","Dr. Emily Patel","Neurosurgery"
"1263","Dr. Evelyn Reed","Infectious Disease"
"1264","Dr. Emily Chen","General Medicine"
"1266","Dr. Evelyn Reed","Nephrology"
"1267","Dr. Endocrinologist","Endocrinology"
"1268","Dr. Emily Chen","Ophthalmology"
"1269","Dr. Evelyn Reed","Rheumatology"
"1270","Dr. John Smith","General Medicine"
"1273","Dr. Emily Carter","General Medicine"
"1274","Dr. B","General Medicine"
"1280","Dr. Ferguson","General Medicine"
"1287","Dr. Cheng","Gynecology"
"1288","Dr. Emily Patterson","Orthopedics"
"1289","Dr. Gill","General Medicine"
"1290","Dr. Emily Patterson","Primary Care"
"1292","Dr. Emily Thompson","Pediatric Surgery"
"1293","Dr. John Smith","Pediatric Urology"
"1295","Dr. Emily Chen","Allergist"
"1296","Dr. Emily Patel","Pediatrics"
"1297","Dr. Emily Carter","Bariatric Surgery"
"1301","Dr. Emily Chen","Dietitian"
"1305","Dr. John Smith","Endocrinology"
"1306","Dr. Emily Carter","Dietitian"
"1307","Dr. Emily Chen","Dietary Consult"
"1309","Dr. Emily Carter","Dietary Consult"
"1310","Dr. Charlie Athene","Dietitian"
"1312","Dr. John Doe","Endocrinology"
"1313","Dr. Emily Patterson","Endocrinology"
"1316","Dr. Emily Chen","Dermatology"
"1317","Dr. Emily Patterson","Podiatry"
"1324","Dr. Emily Chen","Infectious Disease"
"1328","Dr. Emily Wilson","General Practice"
"1329","Dr. Emily Carter","Nephrology"
"1330","Dr. L","Neurosurgery"
"1338","Dr. Cardiology Specialist","Cardiology"
"1339","Dr. Charla Yassine","Endocrinology"
"1341","Dr. Emily Chen","Oncology"
"1342","Dr. Varner","Cardiology"
"1343","Dr. Emily Patel","Oncology"
"1344","Dr. Emily Carter","Psychiatry"
"1346","Dr. Ethan Thompson","Neurology"
"1349","Dr. Emily Patel","Endocrinology"
"1351","Dr. Emily Chen","Sleep Medicine"
"1354","Dr. Evelyn Reed","Sleep Medicine"
"1355","Dr. John Smith","Sleep Medicine"
"1356","Dr. Alice Chen","Sleep Medicine"
"1357","Dr. Emily Carter","Sleep Medicine"
"1359","Dr. Sleep Specialist","Sleep Medicine"
"1375","Dr. A. General Practitioner MD","Rheumatology"
"1376","Dr. Emily Carter","Pediatric Rheumatology"
"1377","Dr. Emily Carter","Rheumatology"
"1379","Dr. Eleanor Vance","Rheumatology"
"1380","Dr. R","Rheumatology"
"1382","Dr. Emily Chen","Radiology"
"1383","Dr. Evelyn Reed","Radiology"
"1384","Dr. Pediatric Rheumatologist","Rheumatology"
"1386","Dr. John Smith","Radiology"
"1388","Dr. Emily Carter","Radiology"
"1401","Dr. xx","Radiology"
"1402","Dr. A","Neurology"
"1416","Dr. A","Podiatry"
"1419","Dr. Emily Chen","Radiology"
"1420","Dr. Bruce Protocol","Radiology"
"1426","Dr. Robert Smith","Radiology"
"1430","Dr. XXX","Radiology"
"1439","Dr. Evelyn Reed","Oncology"
"1461","Dr. Emily Patel","Radiology"
"1464","Dr. Alice Chen","Radiology"
"1492","Dr. Emily Carter","Pediatric Neurology"
"1518","Dr. Evelyn Reed","Interventional Radiology"
"1521","Dr. [Physician Name]","Radiology"
"1607","Dr. Radiation Oncologist","Radiology"
"1612","Dr. Emily Carter","Neurology"
"1641","Dr. Emily Carter","Psychiatry / Psychology"
"1643","Dr. Evelyn Reed","Psychiatry"
"1645","Dr. Starks","Psychiatry / Psychology"
"1646","Dr. John Smith","Psychiatry / Psychology"
"1650","Dr. Emily Wilson","Psychiatry"
"1651","Dr. Stephanie Kitchen","Psychiatry / Psychology"
"1652","Dr. Jane Smith","Psychiatry"
"1654","Dr. Rebecca Richardson","Psychiatry"
"1658","Dr. B","Psychiatry"
"1663","Dr. Jeffrey Silverberg","Psychiatry"
"1672","Dr. A","Psychiatry"
"1676","Dr. Emily Patterson","Psychiatry / Psychology"
"1679","Dr. Anya Sharma","Neurology"
"1682","Dr. Unknown","Psychiatry / Psychology"
"1683","Dr. J","Psychiatry"
"1691","Dr. Y","Psychiatry"
"1697","Dr. Green","Podiatry"
"1705","Dr. Anya Sharma","Podiatry"
"1710","Dr. Robert Adams","Podiatry"
"1732","Dr. Kaczander","Podiatry"
"1738","Dr. Emily Carter","Physical Medicine - Rehab"
"1739","Dr. Unknown","Physical Medicine - Rehab"
"1745","Dr. John Smith","Physical Medicine - Rehab"
"1749","Dr. Emily Patterson","Physical Medicine - Rehab"
"1751","Dr. Evelyn Reed","Physical Medicine - Rehab"
"1760","Dr. Emily Carter","Pediatrics - Neonatal"
"1762","Dr. Unknown","Pediatrics - Neonatal"
"1767","Dr. Hoing","Pediatrics - Neonatal"
"1778","Dr. Crum","Pediatrics"
"1780","Dr. Pediatric Rheumatologist","Pediatric Rheumatology"
"1784","Dr. John Smith","Pediatrics - Neonatal"
"1799","Dr. Unknown","Pediatrics - Neonatal Oncology"
"1804","Dr. Y","Pediatrics - Neonatal"
"1808","Dr. Unknown","Intensivist"
"1814","Dr. Unknown","Hospitalist"
"1815","Dr. Emily Chen","Pediatrics"
"1822","Dr. Emily Carter","Pediatric Surgery"
"1826","Dr. John Smith","Pain Management"
"1828","Dr. Unknown","Pain Management"
"1831","Dr. Emily Carter","Pain Management"
"1835","Dr. Pain Management Specialist","Pain Management"
"1844","Dr. Ralph Menard","Pain Management"
"1850","Dr. Anesthesia Care Provider","Pain Management"
"1859","Dr. Smith","Pain Management"
"1874","Dr. Emily Chen","Pain Management"
